what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782770568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782782923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782783305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782789289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782793579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782793938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782807219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782809555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782809930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782812718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782814243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782814671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782816646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782818050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782818403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782832514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782842346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782842814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782850952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782858739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782863683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342782865418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782865850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342782868629
