what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761720353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761777307
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.format",1342761786843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342761787375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342761819033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761830890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761846858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342761849192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342761851317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761851832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761852866
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342761856834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342761857071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761858022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761870835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761880339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761911280
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342761912623
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342761913698
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1342761924660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342761924852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761925222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761939455
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342761941674
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342761942930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761950755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761983606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342761988143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342761990655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761990958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342761998756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342762002928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342762003595
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342762005630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342762005743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342762006094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342762060052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342762062369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342762062774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342762071582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342762072080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342762084018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342762084445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342762084856
