what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774659660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342774660439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342774660813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342774661876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774662746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774665815
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342774668871
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342774669763
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342774670493
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1342774688242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342774688464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774689692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774691244
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1342774693415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342774693555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774694255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774695527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342774695948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342774696361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342774699032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774699673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342774701744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342774702205
