what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777113505
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1342777116529
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342777117398
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342777133081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342777136689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342777137051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777141453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777143689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777144524
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777154663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342777184011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342777185619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777188464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777192646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777197063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777200863
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1342777221860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777222231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342777222249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777227902
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1342777228746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777237839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777237984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342777241848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777244695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777252179
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342777310459
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342777310638
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1342777322562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342777322730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777323573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342777330957
