what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765212445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765243678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765251708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765262911
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765352856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765362189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765363457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765372246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765375812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765376180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765380871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765383030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765440790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765442348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765444144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765444426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342765444458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765450594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765451903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765454401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342765454784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765455906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765461452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765471987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765486977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342765486990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765491834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765492798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342765492826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765530383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765533840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765547964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765551713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765559952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765563984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765566688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765567058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765571700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765576796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342765576807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765582253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765585564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765586605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765592835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765598528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765600087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765600483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765603401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765605360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765605770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765609002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765609910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765611806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765612192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765614393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342765614810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342765615209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1342765615664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765616798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765622697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765657853
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765666304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765669183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765680024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765680411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765685543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765687296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765688350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765690090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765690805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765690959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765691443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765703345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765706302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765707373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765708390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765709041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765712666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765714656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765715299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765727408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765729952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765740144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765741962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765789992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765792334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342765792407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765850390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765853712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765862980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765864434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765879641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765882956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765890200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1342765890227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765899179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765902093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765905269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765911253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765914592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765918680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765964159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765968766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765971215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342765971505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342765973749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765974129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765982589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342765985775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342766079414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1342766085779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342766089106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342766090730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342766091116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342766098201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342766104050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342766104504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342766106680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1342766109643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342766110023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342766112209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1342766114492
